team,fifa_ranking,world_cup_titles,historical_win_percentage,goals_scored_per_match,goals_conceded_per_match,squad_value_euro_million,avg_player_rating,max_player_rating,avg_player_age,player_total_market_value,total_intl_caps,defense_rating,attack_rating,goalkeeper_rating,midfield_rating,manager_experience_years,manager_matches_managed,manager_win_rate,manager_trophies_won,manager_intl_experience
Argentina,1,3,0.72,2.1,0.8,1050,83.46666666666667,87,26.933333333333334,9440.1,472,84.6,83.33333333333333,84.0,82.2,21,339,0.71,6,1
France,2,2,0.7,2.2,0.9,1200,84.2,89,26.2,11305.119999999999,384,83.6,84.33333333333333,86.5,83.8,18,260,0.65,2,1
Spain,3,1,0.68,2.0,0.8,1000,84.86666666666666,88,26.733333333333334,14114.56,431,86.4,83.33333333333333,83.5,84.8,16,289,0.66,6,1
England,4,1,0.65,2.1,0.9,1300,83.6,89,25.866666666666667,11643.93,381,83.8,84.33333333333333,83.0,83.2,23,420,0.68,7,1
Brazil,5,5,0.73,2.3,1.0,1100,83.86666666666666,88,25.866666666666667,12287.6,497,85.4,82.0,84.5,83.2,21,274,0.68,5,1
Belgium,6,0,0.62,1.9,1.1,650,82.8,88,25.133333333333333,8620.16,334,82.6,83.66666666666667,82.0,82.8,22,210,0.63,6,1
Portugal,7,0,0.64,2.0,1.0,980,81.26666666666667,84,26.666666666666668,5182.79,478,81.4,80.66666666666667,79.5,82.2,16,241,0.64,1,1
Netherlands,8,0,0.61,1.8,1.1,750,81.73333333333333,89,27.866666666666667,7234.389999999999,494,80.8,83.0,79.5,82.8,18,197,0.58,2,1
Italy,9,4,0.58,1.6,0.9,700,82.33333333333333,86,25.933333333333334,8216.61,479,83.4,83.33333333333333,81.5,81.0,20,342,0.59,3,1
Colombia,10,0,0.59,1.7,1.0,320,83.06666666666666,88,27.466666666666665,8459.84,524,84.6,81.0,82.5,83.0,16,253,0.62,4,1
Croatia,11,0,0.57,1.5,1.2,420,81.26666666666667,87,26.866666666666667,6560.11,432,81.4,83.33333333333333,81.0,80.0,15,319,0.55,3,1
Germany,12,4,0.6,1.9,1.2,850,81.93333333333334,86,27.2,6490.91,411,82.2,82.33333333333333,81.5,81.6,17,213,0.61,0,0
Morocco,13,0,0.58,1.4,0.8,380,80.26666666666667,83,27.2,4442.91,482,81.4,76.66666666666667,81.5,80.8,21,355,0.51,7,0
Uruguay,14,2,0.56,1.6,1.1,480,81.2,87,25.666666666666668,6404.01,398,81.6,80.0,86.0,79.6,21,337,0.57,5,0
USA,15,0,0.52,1.5,1.2,350,80.6,86,26.133333333333333,6005.79,418,81.2,82.0,80.5,79.2,15,206,0.5,0,1
Japan,16,0,0.55,1.7,1.1,280,79.93333333333334,83,24.733333333333334,4344.74,347,80.2,79.33333333333333,79.0,80.4,21,338,0.53,4,1
Senegal,17,0,0.54,1.4,1.0,290,79.93333333333334,84,25.133333333333333,4344.18,360,79.2,80.0,79.0,81.0,20,218,0.51,1,1
Switzerland,18,0,0.5,1.4,1.2,260,79.26666666666667,84,26.333333333333332,3633.74,388,79.2,79.0,79.0,79.6,20,330,0.54,5,0
Denmark,19,0,0.51,1.5,1.1,310,78.93333333333334,82,26.4,3151.55,424,79.2,77.66666666666667,77.5,80.0,16,280,0.51,2,1
Iran,20,0,0.49,1.3,0.9,80,80.53333333333333,83,25.8,4613.28,377,78.8,81.66666666666667,82.5,80.8,15,308,0.49,1,1
Mexico,21,0,0.48,1.3,1.3,220,78.66666666666667,85,26.466666666666665,3467.89,366,80.2,77.66666666666667,79.0,77.6,17,286,0.49,0,0
South Korea,22,0,0.5,1.4,1.1,210,77.86666666666666,83,25.8,2557.6,400,78.0,77.0,79.0,77.8,16,251,0.43,2,1
Australia,23,0,0.47,1.3,1.2,120,77.06666666666666,82,25.933333333333334,2561.76,423,77.2,74.66666666666667,78.5,77.8,21,374,0.44,0,0
Sweden,24,0,0.49,1.4,1.2,240,77.53333333333333,80,26.2,2375.51,348,77.6,78.0,75.5,78.0,14,214,0.52,3,1
Ukraine,25,0,0.46,1.3,1.2,200,77.2,82,25.666666666666668,2580.05,345,77.4,78.33333333333333,75.5,77.0,8,66,0.47,1,1
Turkey,26,0,0.45,1.4,1.3,230,78.2,82,24.466666666666665,3085.67,289,78.4,78.0,80.5,77.2,13,135,0.46,0,0
Austria,27,0,0.46,1.3,1.2,190,77.4,85,27.2,2241.3,495,77.2,78.66666666666667,76.0,77.4,17,289,0.4,0,1
Ecuador,28,0,0.44,1.2,1.1,210,76.66666666666667,82,26.0,1958.09,436,78.4,76.0,76.0,75.6,16,224,0.4,2,0
Poland,29,0,0.43,1.2,1.3,170,76.06666666666666,80,24.533333333333335,2024.6,267,75.8,75.33333333333333,78.0,76.0,19,301,0.47,2,1
Nigeria,30,0,0.46,1.3,1.1,250,76.8,80,26.8,1891.84,478,76.8,76.66666666666667,75.0,77.6,19,187,0.48,4,1
Egypt,31,0,0.45,1.2,1.0,140,75.6,83,28.066666666666666,1787.9299999999998,581,76.0,74.66666666666667,75.5,75.8,18,332,0.43,0,0
Tunisia,32,0,0.42,1.1,1.1,95,75.6,82,26.533333333333335,1731.85,415,75.4,74.66666666666667,74.0,77.0,16,201,0.39,2,0
Algeria,33,0,0.44,1.2,1.0,130,73.6,76,24.6,1122.1,239,73.2,73.33333333333333,73.5,74.2,16,301,0.48,2,1
Cameroon,34,0,0.41,1.1,1.2,110,74.8,79,23.933333333333334,1351.4,258,74.0,75.66666666666667,74.0,75.4,17,277,0.44,0,1
Canada,35,0,0.45,1.3,1.3,180,74.66666666666667,81,25.933333333333334,1583.8600000000001,455,75.8,72.66666666666667,74.5,74.8,9,142,0.42,2,0
Costa Rica,36,0,0.4,1.1,1.3,60,74.26666666666667,78,25.933333333333334,1262.51,446,74.0,76.0,76.0,72.8,17,254,0.39,0,1
Panama,37,0,0.38,1.0,1.4,45,73.2,77,25.466666666666665,1003.95,335,72.8,73.33333333333333,74.5,73.0,17,255,0.39,0,0
Jamaica,38,0,0.39,1.1,1.4,85,73.46666666666667,77,26.466666666666665,877.89,413,71.6,74.66666666666667,74.5,74.2,15,185,0.43,2,1
Saudi Arabia,39,0,0.4,1.1,1.2,70,73.73333333333333,78,25.466666666666665,992.97,324,72.4,73.0,73.5,75.6,5,57,0.37,0,1
Qatar,40,0,0.38,1.1,1.3,50,74.46666666666667,80,25.933333333333334,1431.0,361,74.2,75.66666666666667,73.0,74.6,14,202,0.39,0,0
Iraq,41,0,0.37,1.0,1.2,35,72.6,75,25.8,830.87,430,72.6,70.66666666666667,74.5,73.0,16,252,0.39,0,1
Uzbekistan,42,0,0.36,1.0,1.1,40,73.2,78,25.533333333333335,1068.1,323,72.0,74.0,72.5,74.2,9,119,0.35,0,0
Ivory Coast,43,0,0.45,1.3,1.1,260,72.46666666666667,76,24.4,811.39,319,73.8,73.33333333333333,70.5,71.4,12,147,0.44,1,0
Ghana,44,0,0.42,1.2,1.2,150,72.2,75,25.466666666666665,745.4,404,73.0,73.33333333333333,73.5,70.2,8,132,0.46,0,1
Chile,45,0,0.43,1.2,1.3,110,73.06666666666666,78,26.2,914.83,355,73.0,72.66666666666667,73.5,73.2,17,313,0.39,2,0
Paraguay,46,0,0.4,1.0,1.2,95,71.4,79,27.066666666666666,627.05,499,70.8,70.0,70.5,73.2,16,234,0.44,0,1
Peru,47,0,0.41,1.0,1.2,80,71.4,74,25.266666666666666,663.56,394,72.4,71.0,71.0,70.8,14,173,0.43,0,0
New Zealand,48,0,0.35,0.9,1.4,30,71.2,77,26.133333333333333,537.95,452,68.4,72.33333333333333,72.0,73.0,12,183,0.4,0,1
